국가별,시점,국내총생산,고용률,국민부담률,경제활동참가율 (%),무역의존도_수출,무역의존도_수입,수출,수입,외환보유액,부채비율,실업률,평균근로자세금,디플레이터,GDP_성장률
이탈리아,2012,35054,56.6,43.6,49.1,24.07,23.51,502407,490647,181670,135.375,10.7,47.7,103.2,-3
이탈리아,2013,35550,55.5,43.8,48.8,24.31,22.46,520551,480928,145488,143.172,12.2,47.8,104.4,-1.8
이탈리아,2014,35518,55.7,43.3,49.1,24.56,21.96,530320,474252,142224,155.633,12.7,47.8,105.3,0
이탈리아,2015,30230,56.3,43,49,24.84,22.34,456084,410091,130557,156.853,11.9,47.8,106.3,0.8
이탈리아,2016,30940,57.3,42.2,49.5,24.65,21.76,462388,408241,136044,154.55,11.7,47.8,107.5,1.3
이탈리아,2017,32327,58,41.9,49.8,26.15,23.37,511753,457388,151199,151.998,11.2,47.7,108.3,1.7
이탈리아,2018,34609,58.5,41.9,49.9,26.31,24.1,550269,503929,152508,146.789,10.6,47.7,109.4,0.9
이탈리아,2019,33567,59.1,42.4,49.9,26.92,23.74,539708,475979,175256,154.505,10,48,110.3,0.3
이탈리아,2020,31676,58.1,,48.5,26.24,22.36,495092,421828,210955,,9.2,46,111.6,-8.9
라트비아,2000,3358,,29.1,56.2,23.46,40.05,1865,3183,919,14.475,14.2,43.2,55.1,5.7
라트비아,2001,3573,,28.2,56.6,23.96,41.96,2001,3504,1218,15.869,13.8,43,56.4,6.3
라트비아,2002,4132,60,27.9,58,23.93,42.46,2284,4053,1327,15.889,13.8,43.1,59.2,7.1
라트비아,2003,5135,60.8,27.5,57.1,24.62,44.62,2893,5242,1535,17.03,12.1,42.7,62.2,8.4
라트비아,2004,6364,61,27.7,57.4,27.65,48.94,3982,7048,2022,18.138,11.7,42.8,66.4,8.5
라트비아,2005,7575,62.2,28,57.4,30.12,50.66,5108,8592,2361,14.948,10,43.1,73.8,10.7
라트비아,2006,9700,65.9,28.8,59.1,27.38,53.12,5893,11431,4509,14.908,7,42.7,83,12
라트비아,2007,14091,68.1,28.3,60.3,25.46,48.97,7892,15182,5758,13.027,6.1,42.2,99.7,10
라트비아,2008,16422,68.2,28,61.6,25.95,44.12,9278,15775,5248,23.204,7.7,41.3,111.2,-3.3
라트비아,2009,12288,60.4,28.2,60.1,27.26,35.51,7174,9346,6907,42.181,17.5,40.9,100.4,-14.3
라트비아,2010,11380,58.5,28.7,58.9,37.08,46.68,8851,11143,7606,53.998,19.5,44,100,-4.4
라트비아,2011,13776,60.8,28.3,58.5,42.27,54.42,11995,15441,6383,49.644,16.2,44.2,106.4,6.5
라트비아,2012,13923,63,29.1,59.7,44.78,56.76,12683,16078,7523,48.709,15.1,44.3,110.2,4.3
라트비아,2013,15123,65.1,29.4,59.4,43.75,55.13,13317,16781,7893,45.547,11.9,43.7,112,2.3
라트비아,2014,15714,66.3,29.7,59.3,43.97,54.67,13777,17129,3227,50.894,10.9,43,114.2,1.1
라트비아,2015,13775,68.1,30,60.1,42.77,51.74,11649,14093,3446,46.13,9.9,42.5,114.2,4
라트비아,2016,14316,68.7,31.2,60.4,41.38,48.97,11607,13737,3514,49.716,9.6,42.5,115.1,2.4
라트비아,2017,15643,70.1,31.4,60.8,43.41,52.85,13190,16056,4614,47.029,8.7,42.7,118.6,3.3
라트비아,2018,17850,71.8,31.2,61.4,43.81,54.12,15070,18616,4371,45.648,7.4,42.6,123.2,4
라트비아,2019,17794,72.3,31.2,61.2,42.61,52.29,14510,17809,4479,47.204,6.3,42.5,126,2
라트비아,2020,17620,71.6,,61.7,45.07,51.53,15101,17264,5290,,8.1,41.8,126.1,-3.6
리히텐슈타인,2000,74854,,,,,,,,,,1.3,,,3.2
리히텐슈타인,2001,74287,,,,,,,,,,1.1,,,-0.7
리히텐슈타인,2002,79346,,,,,,,,,,1.5,,,-1
리히텐슈타인,2003,89860,,,,,,,,,,2.1,,,-1.9
리히텐슈타인,2004,100289,,,,,,,,,,2.4,,,3
리히텐슈타인,2005,105399,,,,,,,,,,2.7,,,4.8
리히텐슈타인,2006,114374,,,,,,,,,,2.5,,,8.6
리히텐슈타인,2007,130656,,,,,,,,,,2,,,3.3
리히텐슈타인,2008,143264,,,,,,,,,,,,,1.8
리히텐슈타인,2009,126097,,,,,,,,,,,,,-1.2
리히텐슈타인,2010,141193,,,,,,,,,,,,,
리히텐슈타인,2011,158130,,,,,,,,,,,,,
리히텐슈타인,2012,149010,,,,,,,,,,,,,
리히텐슈타인,2013,173030,,,,,,,,,,,,,
리히텐슈타인,2014,178865,,,,,,,,,,,,,
리히텐슈타인,2015,167313,,,,,,,,,,,,,
리히텐슈타인,2016,165642,,,,,,,,,,,,,
리히텐슈타인,2017,171254,,,,,,,,,,,,,
리히텐슈타인,2018,180367,,,,,,,,,,,,,
리투아니아,2000,3293,,30.8,60.3,30.79,45.29,3548,5219,1359,34.479,15.9,45.7,72.9,3.7
리투아니아,2001,3526,,29.3,59.1,34.97,49.52,4279,6060,1669,33.541,16.8,45.7,72.7,6.5
리투아니아,2002,4142,,29,58.5,36.69,52.78,5232,7526,2413,32.021,13,45.2,72.9,6.8
리투아니아,2003,5499,,28.6,60.2,37.11,51.48,6970,9669,3450,28.59,12.9,44.3,72.3,10.6
리투아니아,2004,6700,,29,57.2,41.13,54.74,9307,12386,3594,27.294,10.7,44.8,74.2,6.6
리투아니아,2005,7855,62.9,29.2,56.3,45.15,59.43,11782,15511,3816,24.923,8.3,45.4,79.3,7.7
리투아니아,2006,9231,63.6,30.1,55.3,46.89,64.32,14153,19413,5773,21.976,5.8,44.4,84.7,7.4
리투아니아,2007,12285,65,30,55.6,43.23,61.58,17163,24445,7712,19.404,4.3,43,91.9,11.1
리투아니아,2008,14945,64.4,30.6,55.8,49.73,65.47,23770,31294,6442,17.136,5.8,41.6,100.9,2.6
리투아니아,2009,11821,59.9,30.2,56.6,44.12,49.06,16497,18341,6626,34.18,13.8,40.7,97.5,-14.8
리투아니아,2010,11988,57.6,28.4,56.8,55.82,62.98,20726,23385,6599,45.471,17.8,40.6,100,1.7
리투아니아,2011,14377,60.2,27.2,57.4,64.49,73.07,28078,31810,8210,45.683,15.4,40.7,105.3,6
리투아니아,2012,14368,62,27,57.7,69.01,74.52,29625,31988,8529,51.186,13.4,40.9,108.2,3.8
리투아니아,2013,15730,63.7,26.8,58,70.08,74.83,32604,34814,8072,47.921,11.8,41.1,109.6,3.6
리투아니아,2014,16551,65.7,27.5,58.9,66.65,70.86,32346,34389,8728,52.587,10.7,41,110.5,3.5
